tornado
	2015-04-21 00:23:21@Rhorge why does he have a gostly hail print
	2015-04-21 00:23:20@phylliskessel13 @4to77to37 that's bloody big hail.
	2015-04-21 00:23:11Day One Results at the #EagleOpen hosted by Central Methodist. @ Hail Ridge Golf Course https://t.co/lkQ73k4vIX
	2015-04-21 00:23:10RT @garyfox5dc: 8:05PM Radar: Svr storm moving NE at 35mph. NW #DC could get some large hail w/this storm. http://t.co/pJTVvQOiUp
	2015-04-21 00:23:07Heat damage makes any natural wanna cry
	2015-04-21 00:23:06RT @UMPD: Severe thunderstorms are approaching the area. Expect high winds, possible hail, and lightning. Stay indoors as these storms pass.
	2015-04-21 00:23:06RT @volpe_michelle: @JimCantore hail is Tyrone PA! http://t.co/lrV4bGxFaN
	2015-04-21 00:23:04all that hail I think we should have a delay tomorrow
	2015-04-21 00:23:04When your dreams all fail..and the ones we hail..

#MakeSummerHappy
JK On KrisTV
	2015-04-21 00:23:01@Cutesume ALL HAIL QUEEN KATSUME FOR THIS MARVELOUS IDEA
	2015-04-21 00:22:50RT @hbwx: 1" hail possible in storm near DC @wusa9 @TenaciousTopper @ericagrow @AllysonRaeWx @capitalweather http://t.co/FZHNUJl6AC
	2015-04-21 00:22:4621 Sexiest Women Pulling Fugly Faces http://t.co/8KGkWJwib4
	2015-04-21 00:22:41Random ass thunder/lightening/hail you can go now
	2015-04-21 00:22:38Hail Dingers
	2015-04-21 00:22:36That's some big ass hail
	2015-04-21 00:22:33@NancyPi57 Hail Yeah..#Happy420 Thinking bout one more smoke sesh before bedtime.
	2015-04-21 00:22:29Ummm hail...
	2015-04-21 00:22:27@WestBallz_ All hail the god, Westballz
	2015-04-21 00:22:18This hail though o.o
	2015-04-21 00:22:15Is that hail falling from the sky?
	2015-04-21 00:22:14RT @JoeMurgo: Rainbow after the Hail. Thanks Joshua in Centerville. http://t.co/nUEgIVglca
	2015-04-21 00:22:13no hail or wind here but lots of rain and lightning
rain
	2015-04-21 00:23:48RT @SportsViness: When rain delays the game! https://t.co/2nSNYbciKE
	2015-04-21 00:23:47Sitting out here in the rain, with he only light source for miles being the living room behind me. #rainynight
	2015-04-21 00:23:47RT @SportsViness: When rain delays the game! https://t.co/2nSNYbciKE
	2015-04-21 00:23:46RT @stephhhhherz: I'm so in love with the rain
	2015-04-21 00:23:46RT @R_K_7: @brandonrich_10 with the rain I jumped my starting hight at 5'6 for the W lol. But my pr is 6'2
	2015-04-21 00:23:45I love sound and smell of rain and thunderstorms on a warm evening. They are so peaceful. During them, I become very still.
	2015-04-21 00:23:34me after our game in the rain (ps i AM wearing a swimsuit) http://t.co/7EhbSlFG7u
	2015-04-21 00:23:33Heavy rain/wind/lightning/and minimal hail threat with this cell. Should pass within next 30 mins
	2015-04-21 00:23:33rain rain go away
