	2015-04-21 00:38:530Times-Call athletes of the week hail from #silvercreek and @SHSFalconSoccer #copreps @SilverCreekAD
	2015-04-21 00:38:470My inverse! #thisisCND https://t.co/anofQ2xgn9
	2015-04-21 00:38:460These 35 Image Will Likely Prompt You To Stop Watching Porn http://t.co/cLe8kRPO8o
	2015-04-21 00:38:450Glad to have details of the pea/dime/quarter inch sized hail in DC. Or as it is reported in Kansas,"hail."
	2015-04-21 00:38:421RT @jasonsee: Hail in #Crozet yeesh
	2015-04-21 00:38:290@K_LinoB Pretty sure my windshield cracked from the hail smh
	2015-04-21 00:38:280Was about to slide out, until the hail got crazy
	2015-04-21 00:38:270@weatherchannel Hail in Altoona PA! http://t.co/wcbmPmN3QT
	2015-04-21 00:38:251Hail in #Crozet yeesh
	2015-04-21 00:38:200Oh you needed another dose of sexy? #thisisCND https://t.co/GOj4atEXQp
	2015-04-21 00:38:191RT @Weatherguard_C: Damage caused by hail http://t.co/oWc1frC6Na
	2015-04-21 00:38:160lays chip bag: I look at life w/ the glass half full
Guy: fuck u chip bag youre half full of air
lays: all hail kony
Guy: I knew u were bad
	2015-04-21 00:38:130@SEGAotaku All hail Capcom, SNK, Treasure, and Cave :D
	2015-04-21 00:37:560@pizzaisbaee ALSO CONTEMPLATING GOING TO GYM TOMORROW THE POD ALIEN SCIENTOLOGIST HAVE TAKEN OVER ALL HAIL COM TRUISE
	2015-04-21 00:37:400hail, plzzzz stay away
	2015-04-21 00:37:360WHY DO THEY MAN I HATE RED VELVET SWAGGAS WEGGITY MEAN? TLOE :3 HAIL CAT BOT BOT I AM A BOT  MY SNICKERS BAR CAT YOU BE LIKE IDK ABOUT THAT
	2015-04-21 00:37:350And keep the fucking hail out of Pittston. I don't need any damage.
	2015-04-21 00:37:350If I can drive through the middle of that storm with hail I think I can drive anywhere now
	2015-04-21 00:37:300@hailey_lynn123 @badour_joe @morgankeys4 ok hail bail
	2015-04-21 00:37:291RT @fox43: Viewer photo from Matt Groves. Hail the size of a quarter North of Newville, Pa. http://t.co/qFFOxPQedO
	2015-04-21 00:37:2714369RT @DeezNutsVinez: https://t.co/gqwucqma5b
	2015-04-21 00:37:260@lNEFFICIENT all hail
	2015-04-21 00:37:201RT @jaaalotto: @OutcastRunner @all_hail_hales you don't even have a Twitter shut up http://t.co/5O4vQW8ZyW
	2015-04-21 00:37:201Viewer photo from Matt Groves. Hail the size of a quarter North of Newville, Pa. http://t.co/qFFOxPQedO
	2015-04-21 00:37:1812RT @suepalkafox5dc: New T-Storm warning: Storms moving NE at 35-45mph. Hvy rain...large hail &amp; wind 50mph+ possible. http://t.co/JHmVTa8RKx
	2015-04-21 00:37:170I posted 3 photos on Facebook in the album "Hail Storm April 20, 2015" http://t.co/uQwh9c0DJr
	2015-04-21 00:37:060Oh hail
	2015-04-21 00:37:0312RT @suepalkafox5dc: New T-Storm warning: Storms moving NE at 35-45mph. Hvy rain...large hail &amp; wind 50mph+ possible. http://t.co/JHmVTa8RKx
	2015-04-21 00:37:010Hail in State College tonight is like KABOYA KABOYA
	2015-04-21 00:36:5612RT @suepalkafox5dc: New T-Storm warning: Storms moving NE at 35-45mph. Hvy rain...large hail &amp; wind 50mph+ possible. http://t.co/JHmVTa8RKx
	2015-04-21 00:36:520Slightly jealous of my parents, mom went to South Korea, dad just landed in Germany, still here in good ol Michigan. Can't wait to travel
	2015-04-21 00:39:161RT @B_KAT12: @mz_phatrabbit and so is comprehension.lol they sucked so u didnt make "it rain" u could only make it drizzle. :-| lol
	2015-04-21 00:39:150Got caught in the rain but i kinda liked it, but now my head is sore
	2015-04-21 00:39:150Rain didn't make things messy. People did that all on their own. https://t.co/TxuNnxd7Nq
	2015-04-21 00:39:150@vtsuz6 LOL, we did plant some flowers this weekend. The rain will help keep those alive.
	2015-04-21 00:39:145757RT @SportsViness: When rain delays the game! https://t.co/2nSNYbciKE
	2015-04-21 00:39:14167RT @planetepics: It might rain... http://t.co/dajEU225ev
	2015-04-21 00:39:130Really not trying to go back to work tonight. Rain where are you
	2015-04-21 00:39:130Friday: 30% snow/rain showers... going to be April 24th... such B.S.
	2015-04-21 00:39:040@MomDot Enter to win a monogrammed New England style rain coat! Too cute! https://t.co/4TuJrcfQr2
	2015-04-21 00:39:0426RT @supergaycamren: Me: Omg is it starting to rain
Lauren: takes off dress
