tornado
	2015-04-21 00:02:16@KMonterey That's a great idea!  Unfortunately, I don't have room in the story for a random tornado.  Maybe in the sequel. :)
	2015-04-21 00:02:16Ao menos dois morrem em temporal em SC; autoridades suspeitam de tornado: David ShalomVentos em grande velocid... http://t.co/GGqDKz50oe
	2015-04-21 00:02:15Ao menos dois morrem em temporal em SC; autoridades suspeitam de tornado http://t.co/CA6sFFYdt2
	2015-04-21 00:02:15Well good luck to everyone in this tornado warning, stay safe
	2015-04-21 00:02:13@aa9skillz u are in trouble boiiii #Tornado http://t.co/VDhRNqFQdI
	2015-04-21 00:02:08HE JUST GOT SUCKED INTO A TORNADO THATS ON FIRE  OH MY GOD.
	2015-04-21 00:02:06RT @Raffl_Waffl: Tornado warning....
*secretly hopes it happens*
*just not my house*
	2015-04-21 00:02:00Welcome to @WWE #Raw on USA Network! I'm under tornado watch until 10pm. Don't know how long I tweet
	2015-04-21 00:01:57a tornado flew around my room before you came, excuse the mess it made it usually doesn't rain
	2015-04-21 00:01:57A TORNADO WATCH IS IN EFFECT UNTIL 10 PM FOR POTTER AND TIOGA(PA) COUNTIES

A SEVERE THUNDERSTORM WATCH IS IN... http://t.co/LwdAwgJcT9
	2015-04-21 00:01:54just woke up from a nap and I guess I missed a lot since there's a tornado warning
	2015-04-21 00:01:53Tornado warning? Gym is chalked
	2015-04-21 00:01:53if there is a tornado .. im outta here
	2015-04-21 00:01:52Deu um tornado bem louco destruiu umas coisas
	2015-04-21 00:01:50hello I have a weird yet abiding love for tornado watches #midwesternerproblems http://t.co/5TkHZo6tkV
	2015-04-21 00:01:49Clouds got me nervous. I really hate tornado watches. Trying to not spiral into panic crying. http://t.co/S8llnlRDZV
	2015-04-21 00:01:47@cookcleankill tornado knocked out my power yesterday.,. Prayers
	2015-04-21 00:01:47Ah tornado  warning  and I just wanna cuddle in bed.. with... well I guess a teddy bear. #TornadoWarning
	2015-04-21 00:01:45RT @NBCPhiladelphia: FIRST ALERT: Tornado Watch remains in effect for area, TIMELINE of storms HERE: http://t.co/dMEL5JlZ66
	2015-04-21 00:01:45We are under tornado watch oh fuck
	2015-04-21 00:01:33Sad! Stillman Valley Man arrested for looting in #Fairdale after #tornado http://t.co/UZhAp9lDXY
	2015-04-21 00:01:33Tornado warning in effect for Pennsylvania's Cumberland and Perry Counties until 8:15 pm ET - http://t.co/kNzzDC6WsR #breaking-news
	2015-04-21 00:01:32Tornado warnings are always fun. In b4 power outage, or death, or a combination of the two.
	2015-04-21 00:01:30This was before a tornado http://t.co/v7nLBVFNZ7
	2015-04-21 00:01:27@samsmithworld i love you just be careful if your getting a tornado in ur state/ country we have thunderstorms and tornado watch so far
	2015-04-21 00:01:26RT @weatherblogs: Tornado Warning Harrisburg area
	2015-04-21 00:01:26Pebble-sized hail in Arlington. A tornado possibly in the offing. Spectacular storm.
	2015-04-21 00:01:26RT @basiclorenaa: I hope this tornado comes fr &amp; they cancel school for the rest of the week
	2015-04-21 00:01:26"i hope the tornado sucks you in"
	2015-04-21 00:01:23I don't know if I should shower before or after the tornado. #decisions
	2015-04-21 00:01:12"there's a tornado watch for Loudoun"..."I hope river bend becomes river end"
	2015-04-21 00:01:10tornado watch and severe thunderstorm warning
	2015-04-21 00:01:10What the hell, there aren't supposed to be tornado warnings in Maryland
	2015-04-21 00:01:09#MyRealityTVShowWouldBe  Imagine Tornado hunting...but instead you hunt down drones and the person with the most shot down wins.
	2015-04-21 00:01:08@fox43 @FOX43Weather  get off my TV. If there is a tornado bring it up but get back to #Gotham! This is ridiculous!
	2015-04-21 00:01:07I want a Tornado Warning
	2015-04-21 00:01:07A tornado flew around...
	2015-04-21 00:01:05A tornado?!?!?? (Will food people still deliver?)
	2015-04-21 00:01:05RT @celia_hunt: just imagine if all of fulton county kids died bc of the tornado on 4/20
	2015-04-21 00:01:04@tornado plz hit East High
	2015-04-21 00:00:53This must be that tornado watch I heard about...
	2015-04-21 00:00:52@TLH_Football @TLHanna_Sports @TLHFBRecruit WE TOLD YOU A STORM WAS BREWING.....First day of MS PRACTICE....TORNADO WARNING!!
#BETTERBEREADY
	2015-04-21 00:00:52I'm 90% sure I just slept through a tornado touching down
	2015-04-21 00:00:51RT @brocksivley: tornado warning close school
	2015-04-21 00:00:48@ChrisJZullo No, they also want big government when there is a hurricane,tornado,flood or some other natural disaster to line their pockets!
	2015-04-21 00:00:47#TORNADO WATCH FOR PORTIONS OF : NORTH GA, WESTERN NC, WESTERN SC http://t.co/z1SUEm9qFe http://t.co/4B9HDMlGOl
	2015-04-21 00:00:46A tornado watch!? Not cool. http://t.co/FJv942ahbH
	2015-04-21 00:00:46me: do we have a safe place if there's a tornado? 
mom: in my arms.

cuz that makes me feels safe..
	2015-04-21 00:00:38RT @Sarcacism: @Swagkage
Unleash mix tapes into a tornado
	2015-04-21 00:00:36Welp there's something you don't see in MD often..  Tornado watch.  Yay.
	2015-04-21 00:00:35#TORNADO WATCH FOR PORTIONS OF : EAST CENTRAL GA, CENTRAL SC http://t.co/z1SUEm9qFe http://t.co/Re1KDtRbft
	2015-04-21 00:00:34RT @dorman_kelsey: Im gonna dress nice. That way if this tornado kills me I die looking classy af. #swagneverdies
